IDCODE	TYPE	SOURCE_ID (may include PMU or iPDC)	DESTINATION_ID (may include other iPDC)	UDPPORT	TCPPPORT	DATAINPUT(File or Auto generate)	FILENAME	DATA RATE	PROTOCOL(Which the source and destination would use to communicate with iPDC)
10	PMU	NA	300	3000	3001	AUTO	NA	50	NA
11	PMU	NA	300	3002	3003	AUTO	NA	50	NA
12	PMU	NA	300	3004	3005	AUTO	NA	50	NA
13	PMU	NA	300	3006	3007	AUTO	NA	50	NA
14	PMU	NA	300	3008	3009	AUTO	NA	50	NA
15	PMU	NA	300	3010	3011	AUTO	NA	50	NA
16	PMU	NA	300	3012	3013	AUTO	NA	50	NA
17	PMU	NA	300	3014	3015	AUTO	NA	50	NA
18	PMU	NA	300	3016	3017	AUTO	NA	50	NA
19	PMU	NA	300	3018	3019	AUTO	NA	50	NA
20	PMU	NA	300	3020	3021	AUTO	NA	50	NA
21	PMU	NA	300	3022	3023	AUTO	NA	50	NA
22	PMU	NA	300	3024	3025	AUTO	NA	50	NA
23	PMU	NA	300	3026	3027	AUTO	NA	50	NA
24	PMU	NA	300	3028	3029	AUTO	NA	50	NA
25	PMU	NA	300	3030	3031	AUTO	NA	50	NA
26	PMU	NA	300	3032	3033	AUTO	NA	50	NA
27	PMU	NA	300	3034	3035	AUTO	NA	50	NA
28	PMU	NA	300	3036	3037	AUTO	NA	50	NA
29	PMU	NA	300	3038	3039	AUTO	NA	50	NA
300	PDC	10::11::12::13::14::15::16::17::18::19::20::21::22::23::24::25::26::27::28::29	301	8000	8001	NA	NA	50	NA
300	PDC	10	NA	NA	NA	NA	NA	NA	UDP
300	PDC	11	NA	NA	NA	NA	NA	NA	UDP
300	PDC	12	NA	NA	NA	NA	NA	NA	UDP
300	PDC	13	NA	NA	NA	NA	NA	NA	UDP
300	PDC	14	NA	NA	NA	NA	NA	NA	UDP
300	PDC	15	NA	NA	NA	NA	NA	NA	UDP
300	PDC	16	NA	NA	NA	NA	NA	NA	UDP
300	PDC	17	NA	NA	NA	NA	NA	NA	UDP
300	PDC	18	NA	NA	NA	NA	NA	NA	UDP
300	PDC	19	NA	NA	NA	NA	NA	NA	UDP
300	PDC	20	NA	NA	NA	NA	NA	NA	UDP
300	PDC	21	NA	NA	NA	NA	NA	NA	UDP
300	PDC	22	NA	NA	NA	NA	NA	NA	UDP
300	PDC	23	NA	NA	NA	NA	NA	NA	UDP
300	PDC	24	NA	NA	NA	NA	NA	NA	UDP
300	PDC	25	NA	NA	NA	NA	NA	NA	UDP
300	PDC	26	NA	NA	NA	NA	NA	NA	UDP
300	PDC	27	NA	NA	NA	NA	NA	NA	UDP
300	PDC	28	NA	NA	NA	NA	NA	NA	UDP
300	PDC	29	NA	NA	NA	NA	NA	NA	UDP
300	PDC	NA	301	NA	NA	NA	NA	NA	UDP
301	PDC	300	NA	8002	8003	NA	NA	50	NA
301	PDC	300	NA	NA	NA	NA	NA	NA	UDP
